               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025295,            0.013391,           0.0029439,             0.71703,             0.71544,             0.72177,             0.55174,            0.022939,            0.010283,            0.012052,            0.002872,            0.002872,            0.002872
                  38,             0.02407,             0.01389,           0.0028837,              0.9514,             0.65832,             0.73131,             0.53832,            0.022854,           0.0098512,           0.0094694,            0.002674,            0.002674,            0.002674
                  39,            0.023895,            0.014038,           0.0030229,              0.7688,             0.66575,             0.72627,              0.5489,             0.02257,            0.010859,           0.0094311,            0.002476,            0.002476,            0.002476
                  40,            0.023301,            0.012711,           0.0026567,             0.97256,             0.65118,             0.71205,             0.53809,            0.022265,            0.010648,           0.0094084,            0.002278,            0.002278,            0.002278
                  41,            0.023144,            0.013352,           0.0028729,              0.9183,             0.65887,             0.72149,              0.5517,            0.021407,           0.0098531,            0.014337,             0.00208,             0.00208,             0.00208
                  42,            0.023375,            0.013624,           0.0030852,             0.70411,             0.72879,              0.7295,             0.54941,             0.02174,            0.010751,             0.01239,            0.001882,            0.001882,            0.001882
                  43,            0.022668,            0.013858,           0.0028958,             0.69061,             0.70193,             0.72054,             0.55342,            0.022073,            0.010519,             0.01259,            0.001684,            0.001684,            0.001684
                  44,             0.02274,            0.013405,           0.0025601,             0.91794,             0.69424,             0.73076,             0.55395,            0.021853,            0.010113,            0.014622,            0.001486,            0.001486,            0.001486
                  45,             0.02193,            0.013332,           0.0024676,             0.94031,             0.69763,             0.72375,             0.54214,             0.02183,            0.010129,            0.013824,            0.001288,            0.001288,            0.001288
                  46,            0.021522,            0.012759,           0.0022601,             0.93871,              0.7025,             0.72843,             0.55554,            0.021185,            0.010282,            0.011965,             0.00109,             0.00109,             0.00109
                  47,            0.021091,             0.01224,           0.0023901,             0.94755,              0.7081,             0.73035,             0.55839,            0.020962,           0.0099554,            0.011367,            0.000892,            0.000892,            0.000892
                  48,              0.0208,            0.012608,           0.0025448,             0.94303,             0.71248,             0.72355,             0.55179,            0.021207,            0.010035,            0.010546,            0.000694,            0.000694,            0.000694
                  49,            0.020655,            0.012411,           0.0021981,             0.95428,             0.71436,             0.72448,             0.56459,            0.020674,           0.0099745,           0.0090597,            0.000496,            0.000496,            0.000496
