epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1814.19,0.83918,0.49533,1.02261,0.9448,0.65857,0.93233,0.70832,0.85042,0.62724,1.05076,0.000494885,0.000494885,0.000494885
43,1856.84,0.83919,0.49823,1.01803,0.89272,0.83245,0.91661,0.68736,0.82293,0.60906,1.0355,0.000486639,0.000486639,0.000486639
44,1898.66,0.81998,0.4906,1.00855,0.87548,0.84767,0.91873,0.71522,0.80118,0.60434,1.02211,0.000478392,0.000478392,0.000478392
45,1943.15,0.80447,0.49468,1.00341,0.83213,0.83495,0.91719,0.71016,0.81931,0.60409,1.05313,0.000470145,0.000470145,0.000470145
46,1985.47,0.82882,0.48396,1.02087,0.64329,0.88058,0.79259,0.60802,0.7936,0.75311,1.03624,0.000461898,0.000461898,0.000461898
47,2027.55,0.81002,0.48356,1.00689,0.77924,0.84624,0.89592,0.66042,0.83831,0.72886,1.05337,0.000453652,0.000453652,0.000453652
48,2068.98,0.80302,0.46797,0.99865,0.91387,0.67347,0.75925,0.58946,0.81338,0.60211,1.04452,0.000445405,0.000445405,0.000445405
49,2112.27,0.78554,0.47529,0.99526,0.74539,0.68253,0.76242,0.58823,0.80304,0.62829,1.06775,0.000437158,0.000437158,0.000437158
50,2155.19,0.77808,0.46147,0.99309,0.78492,0.78215,0.77952,0.58252,0.79716,0.84289,1.04156,0.000428912,0.000428912,0.000428912
51,2196.96,0.75865,0.45505,0.98854,0.60543,0.88251,0.78561,0.61227,0.75668,0.58656,1.01561,0.000420665,0.000420665,0.000420665
52,2239.03,0.78314,0.4669,0.9966,0.81946,0.80878,0.92908,0.69445,0.78575,0.60902,1.01387,0.000412418,0.000412418,0.000412418
53,2280.49,0.76108,0.45146,0.9859,0.82281,0.84406,0.82842,0.63355,0.82523,0.59167,1.05987,0.000404172,0.000404172,0.000404172
54,2324.78,0.74426,0.44916,0.97318,0.73276,0.88366,0.92381,0.68925,0.83253,0.58206,1.04909,0.000395925,0.000395925,0.000395925
55,2366.64,0.76375,0.4458,0.98009,0.84339,0.82673,0.82069,0.64249,0.78469,0.67765,1.04263,0.000387678,0.000387678,0.000387678
56,2408.23,0.73761,0.43642,0.97227,0.80171,0.86802,0.82282,0.62884,0.78916,0.63255,1.03375,0.000379431,0.000379431,0.000379431
57,2449.96,0.72171,0.42813,0.96711,0.63468,0.87846,0.7743,0.60496,0.78562,0.65333,1.03579,0.000371185,0.000371185,0.000371185
58,2493.26,0.73676,0.42739,0.97677,0.74844,0.83375,0.79571,0.62044,0.8321,0.71714,1.03906,0.000362938,0.000362938,0.000362938
59,2538.18,0.72808,0.43397,0.97366,0.8117,0.88168,0.91323,0.66715,0.83101,0.64821,1.06069,0.000354691,0.000354691,0.000354691
60,2580.1,0.70944,0.41952,0.96385,0.90982,0.84867,0.91714,0.70584,0.79751,0.58748,1.02393,0.000346445,0.000346445,0.000346445
61,2622.1,0.69607,0.41546,0.96043,0.89324,0.76153,0.91716,0.69654,0.75921,0.69216,0.98125,0.000338198,0.000338198,0.000338198
62,2663.49,0.69269,0.41472,0.95774,0.91116,0.84647,0.9456,0.72206,0.79452,0.58499,1.02253,0.000329951,0.000329951,0.000329951
63,2707.56,0.68911,0.41811,0.95529,0.90238,0.73902,0.86756,0.66436,0.77313,0.80225,1.02256,0.000321705,0.000321705,0.000321705
64,2751.83,0.69052,0.4027,0.95115,0.72269,0.88938,0.83196,0.64042,0.80998,0.56053,1.04959,0.000313458,0.000313458,0.000313458
65,2793.85,0.68099,0.3964,0.94456,0.85244,0.84117,0.83328,0.65132,0.77898,0.55288,1.03676,0.000305211,0.000305211,0.000305211
66,2835.27,0.6772,0.40222,0.94425,0.90338,0.66348,0.77413,0.61714,0.7923,0.62322,1.04586,0.000296964,0.000296964,0.000296964
67,2876.87,0.66902,0.39406,0.95131,0.87111,0.88675,0.94191,0.69153,0.79464,0.52347,1.05954,0.000288718,0.000288718,0.000288718
68,2920.29,0.65952,0.39902,0.94483,0.89098,0.87973,0.92005,0.6952,0.78927,0.60206,1.03806,0.000280471,0.000280471,0.000280471
69,2963.5,0.65795,0.38894,0.93817,0.8919,0.82573,0.89635,0.69216,0.78504,0.74274,1.04804,0.000272224,0.000272224,0.000272224
70,3004.55,0.63785,0.37064,0.93586,0.75175,0.85002,0.80161,0.61977,0.77932,0.7137,1.04268,0.000263978,0.000263978,0.000263978
71,3047.08,0.62143,0.36794,0.92051,0.80282,0.88366,0.8249,0.61923,0.75642,0.5841,1.03073,0.000255731,0.000255731,0.000255731
72,3089.73,0.6524,0.37853,0.93811,0.79754,0.82726,0.81281,0.6397,0.77013,0.66194,1.04571,0.000247484,0.000247484,0.000247484
73,3134.02,0.63969,0.37754,0.93097,0.75054,0.87962,0.78343,0.61286,0.76729,0.636,1.04005,0.000239238,0.000239238,0.000239238
74,3177.65,0.6183,0.36933,0.92854,0.71578,0.88747,0.79826,0.6302,0.7819,0.57275,1.04879,0.000230991,0.000230991,0.000230991
75,3219.18,0.63006,0.37531,0.92921,0.81767,0.82479,0.81614,0.65622,0.73448,0.59041,1.02092,0.000222744,0.000222744,0.000222744
76,3260.73,0.62424,0.36318,0.92567,0.7483,0.87436,0.77315,0.63028,0.73027,0.63183,1.01669,0.000214497,0.000214497,0.000214497
77,3303.1,0.59345,0.35645,0.91616,0.81796,0.86586,0.8136,0.65415,0.75984,0.59631,1.04165,0.000206251,0.000206251,0.000206251
78,3346.26,0.59882,0.35258,0.91877,0.72507,0.88108,0.7756,0.6259,0.73142,0.60965,1.03295,0.000198004,0.000198004,0.000198004
79,3388.61,0.61051,0.35824,0.92445,0.73514,0.84531,0.77324,0.62911,0.75359,0.67474,1.03321,0.000189757,0.000189757,0.000189757
80,3430.62,0.58161,0.34492,0.91335,0.7671,0.90264,0.82683,0.67346,0.72222,0.44455,1.01282,0.000181511,0.000181511,0.000181511
81,3472.4,0.59304,0.35025,0.92005,0.7698,0.88667,0.81011,0.64834,0.75045,0.50857,1.02685,0.000173264,0.000173264,0.000173264
82,3515.6,0.58517,0.34888,0.92076,0.78053,0.88798,0.7997,0.6514,0.72944,0.53412,1.01099,0.000165017,0.000165017,0.000165017
83,3559.52,0.57836,0.34147,0.91363,0.83417,0.87301,0.84821,0.66836,0.74156,0.5258,1.0245,0.000156771,0.000156771,0.000156771
84,3601.3,0.56966,0.34084,0.908,0.81509,0.83056,0.83363,0.67568,0.74048,0.55782,1.02023,0.000148524,0.000148524,0.000148524
85,3642.65,0.57189,0.33781,0.91214,0.7496,0.92946,0.80755,0.65139,0.73872,0.49619,1.01038,0.000140277,0.000140277,0.000140277
86,3683.74,0.56162,0.33588,0.89862,0.80682,0.90332,0.84906,0.70191,0.73534,0.52766,1.03226,0.000132031,0.000132031,0.000132031
87,3728.42,0.56292,0.33711,0.90933,0.8104,0.88297,0.83988,0.68159,0.72672,0.51442,1.02251,0.000123784,0.000123784,0.000123784
88,3770.87,0.52937,0.31918,0.8899,0.66669,0.68672,0.76991,0.62855,0.731,0.56664,1.02885,0.000115537,0.000115537,0.000115537
89,3811.59,0.54441,0.33169,0.90168,0.76085,0.85988,0.78187,0.63017,0.72927,0.55895,1.02472,0.00010729,0.00010729,0.00010729
90,3853.2,0.53254,0.32189,0.89311,0.8071,0.87871,0.81809,0.66774,0.70954,0.58508,1.00282,9.90437e-05,9.90437e-05,9.90437e-05
91,3901.99,0.45822,0.2653,0.83987,0.72544,0.88539,0.78858,0.63632,0.74425,0.53838,1.03111,9.0797e-05,9.0797e-05,9.0797e-05
92,3944.28,0.44615,0.25968,0.83433,0.72112,0.89311,0.77183,0.62679,0.74034,0.51648,1.01723,8.25503e-05,8.25503e-05,8.25503e-05
93,3984.88,0.43559,0.25237,0.83308,0.95362,0.67597,0.76994,0.62561,0.73843,0.53641,1.01391,7.43036e-05,7.43036e-05,7.43036e-05
94,4026.31,0.42982,0.25403,0.82898,0.70139,0.69046,0.76179,0.62058,0.72799,0.53844,1.01826,6.60569e-05,6.60569e-05,6.60569e-05
95,4067.96,0.40636,0.24376,0.82004,0.75341,0.88472,0.77062,0.63187,0.72784,0.54319,1.0265,5.78102e-05,5.78102e-05,5.78102e-05
96,4108.84,0.40984,0.2436,0.82121,0.7811,0.86812,0.7735,0.63466,0.72216,0.534,1.0227,4.95635e-05,4.95635e-05,4.95635e-05
97,4148.87,0.40455,0.23793,0.81472,0.78349,0.88961,0.77132,0.63211,0.71708,0.53045,1.02177,4.13168e-05,4.13168e-05,4.13168e-05
98,4191.36,0.40224,0.23903,0.81825,0.77983,0.88168,0.76641,0.62644,0.71776,0.54764,1.0241,3.30701e-05,3.30701e-05,3.30701e-05
99,4233.74,0.40237,0.23771,0.81948,0.77805,0.88168,0.76165,0.62848,0.72439,0.55707,1.02552,2.48234e-05,2.48234e-05,2.48234e-05
100,4275.79,0.3966,0.23436,0.81459,0.77875,0.8758,0.76215,0.62647,0.71405,0.55166,1.02194,1.65767e-05,1.65767e-05,1.65767e-05
