                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90747,                0.64518,                 1.1232,                0.88023,                0.60274,                0.68421,                0.53034,                0.96975,                0.91359,                 1.2642,              0.0006634,              0.0006634,              0.0006634
                     36,                0.92154,                0.66076,                 1.1367,                0.80305,                0.61058,                0.66654,                0.51141,                0.92411,                0.80306,                 1.2299,              0.0006535,              0.0006535,              0.0006535
                     37,                0.90143,                0.63619,                 1.1138,                0.78118,                0.61077,                 0.6342,                0.47983,                0.90531,                 1.0974,                 1.2208,              0.0006436,              0.0006436,              0.0006436
                     38,                0.89147,                0.64299,                 1.1055,                0.82317,                0.65978,                0.72371,                 0.5322,                0.96111,                0.86083,                 1.2555,              0.0006337,              0.0006337,              0.0006337
                     39,                0.88796,                0.62477,                 1.1068,                0.88698,                0.66781,                 0.7471,                 0.5591,                 0.9151,                0.74397,                 1.2353,              0.0006238,              0.0006238,              0.0006238
                     40,                0.87257,                0.60077,                 1.0903,                0.66494,                0.83582,                0.76486,                0.55954,                0.94771,                0.80927,                 1.2485,              0.0006139,              0.0006139,              0.0006139
                     41,                0.85083,                0.59095,                 1.0858,                0.86518,                0.69166,                0.74388,                 0.5727,                0.90265,                0.69678,                 1.2222,               0.000604,               0.000604,               0.000604
                     42,                 0.8258,                0.56676,                  1.073,                0.90222,                0.61861,                 0.7101,                0.54242,                0.91065,                0.73805,                  1.223,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.8232,                0.55427,                 1.0658,                 0.5716,                0.91278,                0.75608,                0.54617,                 0.9864,                0.84988,                 1.2815,              0.0005842,              0.0005842,              0.0005842
                     44,                0.84801,                0.55853,                 1.0842,                 0.9374,                0.63829,                0.71844,                0.52673,                0.92029,                0.69982,                 1.2428,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.8122,                0.51133,                 1.0629,                0.61199,                0.88918,                0.78983,                0.62142,                 0.8879,                 0.7265,                 1.2135,              0.0005644,              0.0005644,              0.0005644
                     46,                0.82209,                0.53586,                 1.0711,                0.92911,                  0.659,                0.71602,                0.55012,                0.93401,                0.71651,                 1.2681,              0.0005545,              0.0005545,              0.0005545
                     47,                0.80212,                0.52473,                 1.0472,                 0.7492,                0.90327,                0.90254,                0.66453,                0.87879,                0.76172,                 1.2025,              0.0005446,              0.0005446,              0.0005446
                     48,                0.81773,                0.53568,                 1.0553,                0.94229,                0.59272,                0.71576,                0.54518,                0.88746,                0.74367,                 1.2406,              0.0005347,              0.0005347,              0.0005347
                     49,                0.79467,                0.51352,                 1.0479,                0.71389,                0.87026,                0.79925,                0.60814,                0.88963,                0.72747,                  1.212,              0.0005248,              0.0005248,              0.0005248
                     50,                0.77022,                0.49461,                 1.0408,                0.85104,                0.81029,                0.90115,                0.65389,                0.89879,                0.81984,                  1.212,              0.0005149,              0.0005149,              0.0005149
                     51,                0.79309,                0.51337,                 1.0469,                0.78321,                0.85685,                0.90473,                0.66685,                0.89441,                0.73733,                  1.237,               0.000505,               0.000505,               0.000505
                     52,                0.79973,                0.47995,                 1.0541,                0.82545,                0.78421,                 0.8592,                 0.6637,                0.95454,                0.86864,                 1.2876,              0.0004951,              0.0004951,              0.0004951
                     53,                0.82424,                0.50282,                 1.0531,                0.70617,                0.85995,                0.81498,                0.52548,                 1.0698,                0.79873,                 1.3358,              0.0004852,              0.0004852,              0.0004852
                     54,                0.89894,                0.52106,                 1.0803,                0.69411,                0.89756,                0.78437,                0.57634,                 1.0643,                0.72776,                 1.3136,              0.0004753,              0.0004753,              0.0004753
                     55,                0.88214,                0.48378,                 1.0818,                  0.688,                0.70077,                0.74087,                0.54882,                 1.0246,                0.75395,                 1.3185,              0.0004654,              0.0004654,              0.0004654
                     56,                0.83285,                0.48186,                 1.0555,                0.68006,                0.84631,                0.76403,                0.54867,                0.97156,                0.72925,                 1.2549,              0.0004555,              0.0004555,              0.0004555
                     57,                0.77995,                0.45988,                 1.0421,                0.61385,                0.91978,                0.76752,                0.57536,                0.92018,                0.90297,                 1.2592,              0.0004456,              0.0004456,              0.0004456
                     58,                0.74028,                0.43729,                 1.0182,                0.70214,                0.68164,                0.73435,                0.55365,                0.86698,                0.69246,                 1.2277,              0.0004357,              0.0004357,              0.0004357
                     59,                0.73756,                0.44182,                 1.0079,                 0.9343,                0.66868,                0.72706,                0.54516,                0.91667,                0.76205,                 1.2558,              0.0004258,              0.0004258,              0.0004258
                     60,                0.72721,                 0.4378,                 1.0047,                0.95083,                0.65588,                0.73963,                0.56424,                0.91794,                0.70677,                 1.2481,              0.0004159,              0.0004159,              0.0004159
                     61,                0.71324,                0.41603,                 1.0004,                0.90271,                0.72073,                 0.7846,                0.58127,                0.91832,                0.70205,                 1.2342,               0.000406,               0.000406,               0.000406
                     62,                0.69636,                 0.4093,                0.99882,                0.94434,                0.67009,                 0.7529,                0.57207,                0.92184,                0.67772,                 1.2493,              0.0003961,              0.0003961,              0.0003961
                     63,                0.68429,                0.39354,                0.97933,                0.88912,                0.67814,                0.75425,                0.58301,                0.91235,                0.78634,                 1.2605,              0.0003862,              0.0003862,              0.0003862
                     64,                0.67862,                0.38913,                 0.9825,                 0.7388,                0.65511,                 0.7416,                0.55876,                0.89016,                 0.7321,                 1.2334,              0.0003763,              0.0003763,              0.0003763
                     65,                0.66523,                0.39457,                0.97295,                0.70057,                0.67738,                0.71734,                0.55338,                0.85552,                0.72436,                 1.2052,              0.0003664,              0.0003664,              0.0003664
                     66,                0.67627,                0.40145,                0.97746,                0.74439,                0.79275,                0.79305,                0.58563,                0.88944,                 0.8711,                 1.2272,              0.0003565,              0.0003565,              0.0003565
